datetime,LE,LE_filled
2018-10-03 14:00:15,60.529272,60.529272
2018-10-03 14:00:45,53.939132,53.939132
2018-10-03 15:00:15,42.804856,42.804856
2018-10-03 15:00:45,37.562242,37.562242
2018-10-03 16:00:15,29.831881,29.831881
2018-10-03 16:00:45,30.348505,30.348505
2018-10-03 17:00:15,17.914919,17.914919
2018-10-03 17:00:45,8.05653,8.05653
2018-10-03 18:00:15,6.547711,6.547711
2018-10-03 18:00:45,10.158619,10.158619
2018-10-03 19:00:15,12.048744,12.048744
2018-10-03 19:00:45,12.663782,12.663782
2018-10-03 20:00:15,,13.5328383125
2018-10-03 20:00:45,13.80663,13.80663
2018-10-03 21:00:15,16.084406,16.084406
2018-10-03 21:00:45,17.069032,17.069032
2018-10-03 22:00:15,13.811171,13.811171
2018-10-03 22:00:45,9.229872,9.229872
2018-10-03 23:00:15,9.184401,9.184401
2018-10-03 23:00:45,5.193793,5.193793
2018-10-04 00:00:15,3.184139,3.184139
2018-10-04 00:00:45,2.726519,2.726519
2018-10-04 01:00:15,2.100972,2.100972
2018-10-04 01:00:45,7.216695,7.216695
2018-10-04 02:00:15,6.391741,6.391741
2018-10-04 02:00:45,4.684231,4.684231
2018-10-04 03:00:15,3.786608,3.786608
2018-10-04 03:00:45,2.576207,2.576207
2018-10-04 04:00:15,4.447819,4.447819
2018-10-04 04:00:45,4.624784,4.624784
2018-10-04 05:00:15,7.362316,7.362316
2018-10-04 05:00:45,4.698024,4.698024
2018-10-04 06:00:15,6.233512,6.233512
2018-10-04 06:00:45,10.796379,10.796379
2018-10-04 07:00:15,20.969849,20.969849
2018-10-04 07:00:45,25.226955,25.226955
2018-10-04 08:00:15,24.353632,24.353632
2018-10-04 08:00:45,31.984873,31.984873
2018-10-04 09:00:15,29.259218,29.259218
2018-10-04 09:00:45,30.296542,30.296542
2018-10-04 10:00:15,63.205724,63.205724
2018-10-04 10:00:45,40.425917,40.425917
2018-10-04 11:00:15,35.32715,35.32715
2018-10-04 11:00:45,44.500932,44.500932
2018-10-04 12:00:15,40.111625,40.111625
2018-10-04 12:00:45,42.23657,42.23657
2018-10-04 13:00:15,34.064645,34.064645
2018-10-04 13:00:45,28.8416,28.8416
2018-10-04 14:00:15,30.028896,30.028896
2018-10-04 14:00:45,26.02162,26.02162
2018-10-04 15:00:15,28.300986,28.300986
2018-10-04 15:00:45,29.577309,29.577309
2018-10-04 16:00:15,16.893919,16.893919
2018-10-04 16:00:45,19.939793,19.939793
2018-10-04 17:00:15,18.054816,18.054816
2018-10-04 17:00:45,9.845763,9.845763
2018-10-04 18:00:15,6.039878,6.039878
2018-10-04 18:00:45,5.563982,5.563982
2018-10-04 19:00:15,10.433887,10.433887
2018-10-04 19:00:45,8.159094,8.159094
2018-10-04 20:00:15,5.0708,5.0708
2018-10-04 20:00:45,3.655155,3.655155
2018-10-04 21:00:15,6.817221,6.817221
2018-10-04 21:00:45,3.751062,3.751062
2018-10-04 22:00:15,3.247272,3.247272
2018-10-04 22:00:45,2.445146,2.445146
2018-10-04 23:00:15,0.830734,0.830734
2018-10-04 23:00:45,1.763882,1.763882
2018-10-05 00:00:15,0.002032,0.002032
2018-10-05 00:00:45,17.002064,17.002064
2018-10-05 01:00:15,1.362755,1.362755
2018-10-05 01:00:45,2.01108,2.01108
2018-10-05 02:00:15,1.828961,1.828961
2018-10-05 02:00:45,2.094544,2.094544
2018-10-05 03:00:15,0.516229,0.516229
2018-10-05 03:00:45,-2.742121,-2.742121
2018-10-05 04:00:15,-5.392425,-5.392425
2018-10-05 04:00:45,-2.731101,-2.731101
2018-10-05 05:00:15,-2.617978,-2.617978
2018-10-05 05:00:45,-0.219119,-0.219119
2018-10-05 06:00:15,1.206466,1.206466
2018-10-05 06:00:45,3.561898,3.561898
2018-10-05 07:00:15,15.05959,15.05959
2018-10-05 07:00:45,15.761902,15.761902
2018-10-05 08:00:15,20.246249,20.246249
2018-10-05 08:00:45,29.753832,29.753832
2018-10-05 09:00:15,22.729733,22.729733
2018-10-05 09:00:45,18.723497,18.723497
2018-10-05 10:00:15,29.655505,29.655505
2018-10-05 10:00:45,41.556569,41.556569
2018-10-05 11:00:15,38.799407,38.799407
2018-10-05 11:00:45,23.437323,23.437323
2018-10-05 12:00:15,28.827141,28.827141
2018-10-05 12:00:45,35.888768,35.888768
2018-10-05 13:00:15,28.755771,28.755771
2018-10-05 13:00:45,28.62111,28.62111
2018-10-05 14:00:15,28.118128,28.118128
2018-10-05 14:00:45,28.337374,28.337374
2018-10-05 15:00:15,23.439701,23.439701
2018-10-05 15:00:45,23.682526,23.682526
2018-10-05 16:00:15,26.589685,26.589685
2018-10-05 16:00:45,11.490662,11.490662
2018-10-05 17:00:15,11.052443,11.052443
2018-10-05 17:00:45,1.09493,1.09493
2018-10-05 18:00:15,5.483253,5.483253
2018-10-05 18:00:45,2.902423,2.902423
2018-10-05 19:00:15,4.41624,4.41624
2018-10-05 19:00:45,-0.079277,-0.079277
2018-10-05 20:00:15,5.110653,5.110653
2018-10-05 20:00:45,-11.267495,-11.267495
2018-10-05 21:00:15,1.425858,1.425858
2018-10-05 21:00:45,5.470803,5.470803
2018-10-05 22:00:15,13.923271,13.923271
2018-10-05 22:00:45,1.69637,1.69637
2018-10-05 23:00:15,2.323796,2.323796
2018-10-05 23:00:45,-1.466348,-1.466348
2018-10-06 00:00:15,0.854461,0.854461
2018-10-06 00:00:45,-2.474957,-2.474957
2018-10-06 01:00:15,10.907137,10.907137
2018-10-06 01:00:45,0.752341,0.752341
2018-10-06 02:00:15,0.148423,0.148423
2018-10-06 02:00:45,1.49383,1.49383
2018-10-06 03:00:15,0.322511,0.322511
2018-10-06 03:00:45,0.340687,0.340687
2018-10-06 04:00:15,-0.029397,-0.029397
2018-10-06 04:00:45,0.538662,0.538662
2018-10-06 05:00:15,0.030334,0.030334
2018-10-06 05:00:45,0.897231,0.897231
2018-10-06 06:00:15,,7.188680635000002
2018-10-06 06:00:45,,10.1029158425
2018-10-06 07:00:15,5.505324,5.505324
2018-10-06 07:00:45,,23.80355754250001
2018-10-06 08:00:15,27.138538,27.138538
2018-10-06 08:00:45,14.036718,14.036718
2018-10-06 09:00:15,9.790103,9.790103
2018-10-06 09:00:45,37.097143,37.097143
2018-10-06 10:00:15,29.100916,29.100916
2018-10-06 10:00:45,28.669515,28.669515
2018-10-06 11:00:15,25.069697,25.069697
2018-10-06 11:00:45,28.214016,28.214016
2018-10-06 12:00:15,17.213444,17.213444
2018-10-06 12:00:45,17.996293,17.996293
2018-10-06 13:00:15,17.517695,17.517695
2018-10-06 13:00:45,40.460042,40.460042
2018-10-06 14:00:15,12.987713,12.987713
2018-10-06 14:00:45,13.846653,13.846653
2018-10-06 15:00:15,18.434011,18.434011
2018-10-06 15:00:45,16.415494,16.415494
2018-10-06 16:00:15,13.697136,13.697136
2018-10-06 16:00:45,16.761865,16.761865
2018-10-06 17:00:15,8.449764,8.449764
2018-10-06 17:00:45,11.033403,11.033403
2018-10-06 18:00:15,7.392737,7.392737
2018-10-06 18:00:45,9.049978,9.049978
2018-10-06 19:00:15,6.541855,6.541855
2018-10-06 19:00:45,4.865423,4.865423
2018-10-06 20:00:15,4.721584,4.721584
2018-10-06 20:00:45,6.355823,6.355823
2018-10-06 21:00:15,5.017826,5.017826
2018-10-06 21:00:45,4.398339,4.398339
2018-10-06 22:00:15,4.917352,4.917352
2018-10-06 22:00:45,8.107736,8.107736
2018-10-06 23:00:15,7.733099,7.733099
2018-10-06 23:00:45,5.383885,5.383885
2018-10-07 00:00:15,-0.49159,-0.49159
2018-10-07 00:00:45,0.879081,0.879081
2018-10-07 01:00:15,4.487703,4.487703
2018-10-07 01:00:45,7.565385,7.565385
2018-10-07 02:00:15,5.171732,5.171732
2018-10-07 02:00:45,4.780091,4.780091
2018-10-07 03:00:15,5.477201,5.477201
2018-10-07 03:00:45,3.971182,3.971182
2018-10-07 04:00:15,-0.104347,-0.104347
2018-10-07 04:00:45,-1.174259,-1.174259
2018-10-07 05:00:15,6.38149,6.38149
2018-10-07 05:00:45,-6.017467,-6.017467
2018-10-07 06:00:15,1.893719,1.893719
2018-10-07 06:00:45,6.367686,6.367686
2018-10-07 07:00:15,7.233235,7.233235
2018-10-07 07:00:45,,19.85613979749999
2018-10-07 08:00:15,14.672009,14.672009
2018-10-07 08:00:45,19.846789,19.846789
2018-10-07 09:00:15,14.212859,14.212859
