datetime,H,H_filled
2018-10-03 14:00:15,199.066,199.066
2018-10-03 14:00:45,129.608,129.608
2018-10-03 15:00:15,56.4216,56.4216
2018-10-03 15:00:45,93.5043,93.5043
2018-10-03 16:00:15,124.848,124.848
2018-10-03 16:00:45,104.611,104.611
2018-10-03 17:00:15,68.7833,68.7833
2018-10-03 17:00:45,21.9366,21.9366
2018-10-03 18:00:15,-10.6344,-10.6344
2018-10-03 18:00:45,-18.3665,-18.3665
2018-10-03 19:00:15,-21.7826,-21.7826
2018-10-03 19:00:45,-26.4439,-26.4439
2018-10-03 20:00:15,-29.7002,-29.7002
2018-10-03 20:00:45,-37.1623,-37.1623
2018-10-03 21:00:15,-31.9844,-31.9844
2018-10-03 21:00:45,-45.6451,-45.6451
2018-10-03 22:00:15,-40.0867,-40.0867
2018-10-03 22:00:45,-32.1963,-32.1963
2018-10-03 23:00:15,-24.0139,-24.0139
2018-10-03 23:00:45,-19.7793,-19.7793
2018-10-04 00:00:15,-36.1045,-36.1045
2018-10-04 00:00:45,-12.4983,-12.4983
2018-10-04 01:00:15,-6.3706,-6.3706
2018-10-04 01:00:45,-8.407,-8.407
2018-10-04 02:00:15,-5.09074,-5.09074
2018-10-04 02:00:45,-2.39517,-2.39517
2018-10-04 03:00:15,-2.51544,-2.51544
2018-10-04 03:00:45,-6.37273,-6.37273
2018-10-04 04:00:15,-12.6385,-12.6385
2018-10-04 04:00:45,-5.77867,-5.77867
2018-10-04 05:00:15,-7.46928,-7.46928
2018-10-04 05:00:45,-14.1231,-14.1231
2018-10-04 06:00:15,-17.8091,-17.8091
2018-10-04 06:00:45,-20.9756,-20.9756
2018-10-04 07:00:15,-47.3141,-47.3141
2018-10-04 07:00:45,0.05767,0.05767
2018-10-04 08:00:15,10.593,10.593
2018-10-04 08:00:45,48.2222,48.2222
2018-10-04 09:00:15,79.8313,79.8313
2018-10-04 09:00:45,111.318,111.318
2018-10-04 10:00:15,156.333,156.333
2018-10-04 10:00:45,175.352,175.352
2018-10-04 11:00:15,210.959,210.959
2018-10-04 11:00:45,223.194,223.194
2018-10-04 12:00:15,,241.4330255
2018-10-04 12:00:45,,247.95939457499998
2018-10-04 13:00:15,251.972,251.972
2018-10-04 13:00:45,233.585,233.585
2018-10-04 14:00:15,198.477,198.477
2018-10-04 14:00:45,236.191,236.191
2018-10-04 15:00:15,137.692,137.692
2018-10-04 15:00:45,204.81,204.81
2018-10-04 16:00:15,183.861,183.861
