datetime,LE,LE_filled
2018-10-03 14:00:15,119.844,119.844
2018-10-03 14:00:45,76.2447,76.2447
2018-10-03 15:00:15,66.6137,66.6137
2018-10-03 15:00:45,52.6293,52.6293
2018-10-03 16:00:15,70.1177,70.1177
2018-10-03 16:00:45,62.8069,62.8069
2018-10-03 17:00:15,62.834,62.834
2018-10-03 17:00:45,32.4125,32.4125
2018-10-03 18:00:15,26.9606,26.9606
2018-10-03 18:00:45,11.229,11.229
2018-10-03 19:00:15,8.01902,8.01902
2018-10-03 19:00:45,9.50614,9.50614
2018-10-03 20:00:15,10.4034,10.4034
2018-10-03 20:00:45,60.5346,60.5346
2018-10-03 21:00:15,63.4807,63.4807
2018-10-03 21:00:45,19.6679,19.6679
2018-10-03 22:00:15,17.787,17.787
2018-10-03 22:00:45,0.76104,0.76104
2018-10-03 23:00:15,10.6782,10.6782
2018-10-03 23:00:45,-5.35448,-5.35448
2018-10-04 00:00:15,18.327,18.327
2018-10-04 00:00:45,2.83469,2.83469
2018-10-04 01:00:15,-1.16033,-1.16033
2018-10-04 01:00:45,0.01016,0.01016
2018-10-04 02:00:15,-0.06871,-0.06871
2018-10-04 02:00:45,1.55139,1.55139
2018-10-04 03:00:15,-2.20004,-2.20004
2018-10-04 03:00:45,,2.1635174499999996
2018-10-04 04:00:15,1.99403,1.99403
2018-10-04 04:00:45,2.54285,2.54285
2018-10-04 05:00:15,7.61072,7.61072
2018-10-04 05:00:45,4.26731,4.26731
2018-10-04 06:00:15,4.71794,4.71794
2018-10-04 06:00:45,10.7061,10.7061
2018-10-04 07:00:15,11.8117,11.8117
2018-10-04 07:00:45,-3.99846,-3.99846
2018-10-04 08:00:15,22.8503,22.8503
2018-10-04 08:00:45,42.2283,42.2283
2018-10-04 09:00:15,56.9053,56.9053
2018-10-04 09:00:45,47.5207,47.5207
2018-10-04 10:00:15,67.1816,67.1816
2018-10-04 10:00:45,58.6206,58.6206
2018-10-04 11:00:15,6.23768,6.23768
2018-10-04 11:00:45,84.9774,84.9774
2018-10-04 12:00:15,89.2881,89.2881
2018-10-04 12:00:45,,62.991725375
2018-10-04 13:00:15,55.5316,55.5316
2018-10-04 13:00:45,69.4392,69.4392
2018-10-04 14:00:15,97.4745,97.4745
2018-10-04 14:00:45,58.5589,58.5589
2018-10-04 15:00:15,21.6094,21.6094
2018-10-04 15:00:45,38.615,38.615
2018-10-04 16:00:15,33.1426,33.1426
2018-10-04 16:00:45,35.5082,35.5082
2018-10-04 17:00:15,19.2604,19.2604
2018-10-04 17:00:45,27.1528,27.1528
2018-10-04 18:00:15,16.611,16.611
2018-10-04 18:00:45,16.8767,16.8767
2018-10-04 19:00:15,2.14722,2.14722
2018-10-04 19:00:45,11.3429,11.3429
2018-10-04 20:00:15,11.9257,11.9257
2018-10-04 20:00:45,9.24627,9.24627
2018-10-04 21:00:15,10.6363,10.6363
2018-10-04 21:00:45,14.8258,14.8258
2018-10-04 22:00:15,1.21735,1.21735
2018-10-04 22:00:45,1.52067,1.52067
2018-10-04 23:00:15,-6.28236,-6.28236
2018-10-04 23:00:45,8.20182,8.20182
2018-10-05 00:00:15,3.05822,3.05822
2018-10-05 00:00:45,3.16739,3.16739
2018-10-05 01:00:15,,1.394400225
2018-10-05 01:00:45,-1.01077,-1.01077
2018-10-05 02:00:15,-2.55923,-2.55923
2018-10-05 02:00:45,-0.43024,-0.43024
2018-10-05 03:00:15,2.31937,2.31937
2018-10-05 03:00:45,4.25189,4.25189
2018-10-05 04:00:15,0.69854,0.69854
2018-10-05 04:00:45,1.42031,1.42031
2018-10-05 05:00:15,-0.79309,-0.79309
2018-10-05 05:00:45,0.12993,0.12993
2018-10-05 06:00:15,-0.03721,-0.03721
2018-10-05 06:00:45,-1.20641,-1.20641
2018-10-05 07:00:15,3.06676,3.06676
2018-10-05 07:00:45,1.48411,1.48411
2018-10-05 08:00:15,17.4317,17.4317
2018-10-05 08:00:45,28.1905,28.1905
2018-10-05 09:00:15,22.9078,22.9078
2018-10-05 09:00:45,37.1235,37.1235
2018-10-05 10:00:15,53.787,53.787
2018-10-05 10:00:45,59.4235,59.4235
2018-10-05 11:00:15,48.9238,48.9238
2018-10-05 11:00:45,62.6128,62.6128
2018-10-05 12:00:15,-14.4618,-14.4618
2018-10-05 12:00:45,70.5473,70.5473
2018-10-05 13:00:15,62.3013,62.3013
2018-10-05 13:00:45,65.2875,65.2875
2018-10-05 14:00:15,57.8325,57.8325
2018-10-05 14:00:45,56.6767,56.6767
2018-10-05 15:00:15,60.7391,60.7391
2018-10-05 15:00:45,40.3192,40.3192
2018-10-05 16:00:15,38.4285,38.4285
2018-10-05 16:00:45,42.2797,42.2797
2018-10-05 17:00:15,35.1522,35.1522
2018-10-05 17:00:45,15.2794,15.2794
2018-10-05 18:00:15,8.72648,8.72648
2018-10-05 18:00:45,24.3512,24.3512
2018-10-05 19:00:15,2.54719,2.54719
2018-10-05 19:00:45,15.6453,15.6453
2018-10-05 20:00:15,-6.19752,-6.19752
2018-10-05 20:00:45,79.2647,79.2647
2018-10-05 21:00:15,19.6016,19.6016
2018-10-05 21:00:45,13.7567,13.7567
2018-10-05 22:00:15,5.4353,5.4353
2018-10-05 22:00:45,7.51023,7.51023
2018-10-05 23:00:15,11.2016,11.2016
2018-10-05 23:00:45,7.43017,7.43017
2018-10-06 00:00:15,-4.21322,-4.21322
2018-10-06 00:00:45,11.744,11.744
2018-10-06 01:00:15,-5.45338,-5.45338
2018-10-06 01:00:45,-11.312,-11.312
2018-10-06 02:00:15,0.1953,0.1953
2018-10-06 02:00:45,-3.36085,-3.36085
2018-10-06 03:00:15,0.31583,0.31583
2018-10-06 03:00:45,-1.90083,-1.90083
2018-10-06 04:00:15,-1.24723,-1.24723
2018-10-06 04:00:45,0.83958,0.83958
2018-10-06 05:00:15,-0.07567,-0.07567
2018-10-06 05:00:45,-0.73768,-0.73768
2018-10-06 06:00:15,1.9188,1.9188
2018-10-06 06:00:45,-0.41162,-0.41162
2018-10-06 07:00:15,9.37061,9.37061
2018-10-06 07:00:45,55.5276,55.5276
2018-10-06 08:00:15,2.68867,2.68867
2018-10-06 08:00:45,54.1007,54.1007
2018-10-06 09:00:15,-13.3223,-13.3223
2018-10-06 09:00:45,29.0237,29.0237
2018-10-06 10:00:15,23.4034,23.4034
2018-10-06 10:00:45,24.8056,24.8056
2018-10-06 11:00:15,23.4073,23.4073
2018-10-06 11:00:45,41.4019,41.4019
2018-10-06 12:00:15,-6.76379,-6.76379
2018-10-06 12:00:45,34.1102,34.1102
2018-10-06 13:00:15,42.7363,42.7363
2018-10-06 13:00:45,59.034,59.034
2018-10-06 14:00:15,36.4498,36.4498
2018-10-06 14:00:45,8.98885,8.98885
2018-10-06 15:00:15,39.1107,39.1107
2018-10-06 15:00:45,27.8626,27.8626
2018-10-06 16:00:15,30.2236,30.2236
2018-10-06 16:00:45,17.2685,17.2685
2018-10-06 17:00:15,11.3998,11.3998
2018-10-06 17:00:45,34.9665,34.9665
2018-10-06 18:00:15,-10.5718,-10.5718
2018-10-06 18:00:45,8.61523,8.61523
2018-10-06 19:00:15,27.0138,27.0138
2018-10-06 19:00:45,22.5644,22.5644
2018-10-06 20:00:15,9.68538,9.68538
2018-10-06 20:00:45,3.86184,3.86184
2018-10-06 21:00:15,7.52477,7.52477
2018-10-06 21:00:45,15.0689,15.0689
2018-10-06 22:00:15,-0.03305,-0.03305
2018-10-06 22:00:45,0.1509,0.1509
2018-10-06 23:00:15,3.81541,3.81541
2018-10-06 23:00:45,4.3741,4.3741
2018-10-07 00:00:15,2.28635,2.28635
2018-10-07 00:00:45,2.00616,2.00616
2018-10-07 01:00:15,2.55031,2.55031
2018-10-07 01:00:45,1.85337,1.85337
2018-10-07 02:00:15,4.05677,4.05677
2018-10-07 02:00:45,21.0842,21.0842
2018-10-07 03:00:15,1.28584,1.28584
2018-10-07 03:00:45,-0.59475,-0.59475
2018-10-07 04:00:15,0.12513,0.12513
2018-10-07 04:00:45,11.0182,11.0182
2018-10-07 05:00:15,13.5195,13.5195
2018-10-07 05:00:45,-8.47852,-8.47852
2018-10-07 06:00:15,-5.6656,-5.6656
2018-10-07 06:00:45,-30.886,-30.886
2018-10-07 07:00:15,16.086,16.086
2018-10-07 07:00:45,5.09888,5.09888
2018-10-07 08:00:15,17.2109,17.2109
2018-10-07 08:00:45,10.3868,10.3868
2018-10-07 09:00:15,2.31809,2.31809
2018-10-07 09:00:45,26.8925,26.8925
2018-10-07 10:00:15,23.0111,23.0111
2018-10-07 10:00:45,29.4537,29.4537
2018-10-07 11:00:15,-2.09424,-2.09424
2018-10-07 11:00:45,37.6635,37.6635
2018-10-07 12:00:15,-8.44876,-8.44876
2018-10-07 12:00:45,29.2378,29.2378
2018-10-07 13:00:15,64.7247,64.7247
2018-10-07 13:00:45,15.7389,15.7389
2018-10-07 14:00:15,7.96358,7.96358
2018-10-07 14:00:45,0.91867,0.91867
2018-10-07 15:00:15,20.5131,20.5131
2018-10-07 15:00:45,-9.75771,-9.75771
2018-10-07 16:00:15,-12.3623,-12.3623
2018-10-07 16:00:45,33.7173,33.7173
2018-10-07 17:00:15,74.5194,74.5194
2018-10-07 17:00:45,2.87877,2.87877
2018-10-07 18:00:15,5.53733,5.53733
2018-10-07 18:00:45,1.36336,1.36336
2018-10-07 19:00:15,-10.4685,-10.4685
2018-10-07 19:00:45,,1.3098902999999995
2018-10-07 20:00:15,-8.81078,-8.81078
2018-10-07 20:00:45,17.8227,17.8227
2018-10-07 21:00:15,-21.4427,-21.4427
2018-10-07 21:00:45,50.6622,50.6622
2018-10-07 22:00:15,27.1069,27.1069
2018-10-07 22:00:45,13.2614,13.2614
2018-10-07 23:00:15,14.2924,14.2924
2018-10-07 23:00:45,9.19658,9.19658
2018-10-08 00:00:15,11.7014,11.7014
2018-10-08 00:00:45,12.0991,12.0991
