"datetime","SHF_G_AVG","SHF_O_AVG","SHF_weighted_mean","SHF_ALL_AVG"
2018-11-01 00:15:00,-71.706,-76.82169,-75.1846692,-74.26384
2018-11-01 00:45:00,-59.57118,-67.61003,-65.037598,-63.59061
2018-11-01 01:15:00,-46.70533,-41.617,-43.2452656,-44.16116
2018-11-01 01:45:00,-26.66548,-41.44571,-36.7160364,-34.0556
2018-11-01 02:15:00,-41.32616,-25.38122,-30.4836008,-33.35369
2018-11-01 02:45:00,-58.98861,-61.05765,-60.3955572,-60.02312
2018-11-01 03:15:00,-69.93989,-55.62474,-60.205588,-62.78232
2018-11-01 03:45:00,-58.42796,-60.09005,-59.5581812,-59.25901
2018-11-01 04:15:00,-59.51599,-44.37411,-49.2195116,-51.94505
2018-11-01 04:45:00,-48.11151,-47.95191,-48.002982,-48.03171
2018-11-01 05:15:00,-68.33267,-70.51726,-69.8181912,-69.42496
2018-11-01 05:45:00,-62.84322,-67.71075,-66.1531404,-65.27699
2018-11-01 06:15:00,-52.5666,-58.48141,-56.5886708,-55.524
2018-11-01 06:45:00,-38.95615,-24.54637,-29.1574996,-31.75126
2018-11-01 07:15:00,-69.39495,-80.96126,-77.2600408,-75.17811
2018-11-01 07:45:00,-86.88354,-102.1628,-97.2734368,-94.52318
2018-11-01 08:15:00,-79.71608,-120.4763,-107.4330296,-100.0962
2018-11-01 08:45:00,-6.830097,-46.99578,-34.14276144,-26.91294
2018-11-01 09:15:00,65.65451,83.89309,78.0567444,74.7738
2018-11-01 09:45:00,145.3847,102.4093,116.161428,123.897
2018-11-01 10:15:00,146.315,136.21,139.4436,141.2625
2018-11-01 10:45:00,211.1149,56.60988,106.0514864,133.8624
2018-11-01 11:15:00,200.4492,177.6167,184.9231,189.033
2018-11-01 11:45:00,253.7174,156.452,187.576928,205.0847
2018-11-01 12:15:00,258.032,248.5378,251.575944,253.2849
2018-11-01 12:45:00,225.7685,193.8981,204.096628,209.8333
2018-11-01 13:15:00,209.3967,211.9951,211.163612,210.6959
2018-11-01 13:45:00,127.0484,145.7792,139.785344,136.4138
2018-11-01 14:15:00,96.05624,79.53108,84.8191312,87.79366
2018-11-01 14:45:00,76.55731,90.52885,86.0579572,83.54308
2018-11-01 15:15:00,91.1151,62.97411,71.9792268,77.0446
2018-11-01 15:45:00,22.96712,76.74538,59.5363368,49.85625
2018-11-01 16:15:00,-57.52887,0.5438277,-18.039435564,-28.49252
2018-11-01 16:45:00,-153.4857,-42.14941,-77.7770228,-97.81756
2018-11-01 17:15:00,-140.2673,-65.11292,-89.1623216,-102.6901
2018-11-01 17:45:00,-132.8199,-73.96279,-92.7970652,-103.3913
2018-11-01 18:15:00,-130.2386,-84.66934,-99.2515032,-107.454
2018-11-01 18:45:00,-119.4845,-95.25679,-103.0096572,-107.3707
2018-11-01 19:15:00,-120.6693,-93.01676,-101.8655728,-106.843
2018-11-01 19:45:00,-133.1416,-90.91662,-104.4286136,-112.0291
2018-11-01 20:15:00,-136.9398,-101.0201,-112.514404,-118.9799
2018-11-01 20:45:00,-126.495,-102.794,-110.37832,-114.6445
2018-11-01 21:15:00,-112.3619,-89.32616,-96.6975968,-100.844
2018-11-01 21:45:00,-82.61005,-68.66094,-73.1246552,-75.6355
2018-11-01 22:15:00,-77.71538,-59.01296,-64.9977344,-68.36417
2018-11-01 22:45:00,-67.19844,-66.98698,-67.0546472,-67.0927
2018-11-01 23:15:00,-67.88551,-70.65736,-69.770368,-69.27144
2018-11-01 23:45:00,-92.80802,-75.27828,-80.8877968,-84.04315
2018-11-02 00:15:00,-98.35179,-78.76828,-85.0350032,-88.56004
2018-11-02 00:45:00,-99.8957,-79.42498,-85.9756104,-89.66034
2018-11-02 01:15:00,-88.01866,-73.3663,-78.0550552,-80.69247
2018-11-02 01:45:00,-61.32272,-69.43032,-66.835888,-65.37653
2018-11-02 02:15:00,-72.18945,-54.14705,-59.920618,-63.16825
2018-11-02 02:45:00,-55.18512,-57.44524,-56.7220016,-56.31518
2018-11-02 03:15:00,-65.83748,-48.17944,-53.8300128,-57.00846
2018-11-02 03:45:00,-60.85656,-60.99732,-60.9522768,-60.92694
2018-11-02 04:15:00,-67.3843,-63.73344,-64.9017152,-65.55887
2018-11-02 04:45:00,-74.95959,-64.55875,-67.8870188,-69.75917
2018-11-02 05:15:00,-49.86101,-46.82432,-47.7960608,-48.34266
2018-11-02 05:45:00,-49.13581,-52.37962,-51.3416008,-50.75772
2018-11-02 06:15:00,-52.44439,-55.95607,-54.8323324,-54.20023
2018-11-02 06:45:00,-74.73708,-81.35265,-79.2356676,-78.04486
2018-11-02 07:15:00,-101.6049,-107.4891,-105.606156,-104.547
2018-11-02 07:45:00,-81.50188,-112.7234,-102.7325136,-97.11265
2018-11-02 08:15:00,-39.24379,-83.53741,-69.3634516,-61.39059
2018-11-02 08:45:00,31.56353,-23.65812,-5.987192,3.952706
2018-11-02 09:15:00,68.51642,-35.66337,-2.32583720000001,16.42652
2018-11-02 09:45:00,46.26933,61.9311,56.9193336,54.10021
2018-11-02 10:15:00,164.8562,130.0027,141.15582,147.4295
2018-11-02 10:45:00,201.0889,246.9691,232.287436,224.029
2018-11-02 11:15:00,326.6546,223.6967,256.643228,275.1756
2018-11-02 11:45:00,228.1996,188.5415,201.232092,208.3705
2018-11-02 12:15:00,358.0345,135.4472,206.675136,246.7408
2018-11-02 12:45:00,270.0187,256.9869,261.157076,263.5028
2018-11-02 13:15:00,312.0467,278.5265,289.252964,295.2866
2018-11-02 13:45:00,164.4835,306.8286,261.278168,235.6561
2018-11-02 14:15:00,148.6408,162.8954,158.333928,155.7681
2018-11-02 14:45:00,80.037,128.6351,113.083708,104.336
