"datetime","SHF_S_AVG","SHF_O_AVG","SHF_weighted_mean","SHF_ALL_AVG"
2018-11-01 00:15:00,-47.0843,-60.03561,-55.6321646,-53.55996
2018-11-01 00:45:00,-39.79396,-52.30067,-48.0483886,-46.04732
2018-11-01 01:15:00,-38.96194,-50.7981,-46.7738056,-44.88002
2018-11-01 01:45:00,-38.31371,-49.95296,-45.995615,-44.13334
2018-11-01 02:15:00,-45.53547,-57.19602,-53.231433,-51.36574
2018-11-01 02:45:00,-47.12522,-59.44265,-55.2547238,-53.28394
2018-11-01 03:15:00,-51.13898,-63.61275,-59.3716682,-57.37586
2018-11-01 03:45:00,-50.64104,-62.96944,-58.777784,-56.80524
2018-11-01 04:15:00,-57.90145,-71.32248,-66.7593298,-64.61197
2018-11-01 04:45:00,-54.26186,-67.60779,-63.0701738,-60.93483
2018-11-01 05:15:00,-40.67692,-53.09276,-48.8713744,-46.88484
2018-11-01 05:45:00,-23.06383,-33.78638,-30.140713,-28.42511
2018-11-01 06:15:00,-20.43539,-29.99042,-26.7417098,-25.21291
2018-11-01 06:45:00,0.8656361,-6.775541,-4.177540786,-2.954953
2018-11-01 07:15:00,46.73019,43.03963,44.2944204,44.88491
2018-11-01 07:45:00,92.51592,92.04742,92.20671,92.28167
2018-11-01 08:15:00,117.5919,116.8808,117.122574,117.2363
2018-11-01 08:45:00,124.6406,120.2141,121.71911,122.4273
2018-11-01 09:15:00,147.4569,144.3979,145.43796,145.9274
2018-11-01 09:45:00,168.7074,173.7642,172.044888,171.2358
2018-11-01 10:15:00,171.0557,185.4071,180.527624,178.2314
2018-11-01 10:45:00,155.3275,181.0209,172.285144,168.1742
2018-11-01 11:15:00,128.8169,163.5861,151.764572,146.2015
2018-11-01 11:45:00,115.2558,154.931,141.441432,135.0934
2018-11-01 12:15:00,95.5234,138.6939,124.01593,117.1086
2018-11-01 12:45:00,69.97091,113.3581,98.6064554,91.66451
2018-11-01 13:15:00,43.37425,87.61559,72.5735344,65.49492
2018-11-01 13:45:00,17.18515,60.97013,46.0832368,39.07764
2018-11-01 14:15:00,-4.666388,33.35347,20.42671828,14.34354
2018-11-01 14:45:00,-34.66557,-4.018727,-14.43865362,-19.34215
2018-11-01 15:15:00,-65.42808,-44.09991,-51.3514878,-54.764
2018-11-01 15:45:00,-84.98959,-72.88681,-77.0017552,-78.9382
2018-11-01 16:15:00,-96.32456,-93.43138,-94.4150612,-94.87797
2018-11-01 16:45:00,-99.8294,-103.7658,-102.427424,-101.7976
2018-11-01 17:15:00,-100.5708,-108.8135,-106.010982,-104.6921
2018-11-01 17:45:00,-104.5895,-116.1686,-112.231706,-110.379
2018-11-01 18:15:00,-99.19454,-112.5999,-108.0420776,-105.8972
2018-11-01 18:45:00,-97.91347,-112.0141,-107.2198858,-104.9638
2018-11-01 19:15:00,-90.55051,-105.3694,-100.3309774,-97.95996
2018-11-01 19:45:00,-86.06497,-101.3315,-96.1408798,-93.69823
2018-11-01 20:15:00,-80.50337,-96.28926,-90.9220574,-88.39632
